full_title,locality,bhk,price,price_per_sqft,area_sqft,area_type,status,rera_flag,bathrooms,furnishing,verified,dealer_name,updated_on,project_name
"3 BHK Flat in Lower Parel, Mumbai","Lower Parel, Mumbai",3 BHK,₹6.63 Cr,"₹60,714 /sqft","1,092",Carpet Area,Ready To Move,No,N/A,N/A,No,DHM Estates,N/A,N/A
"2 BHK Flat in Sector 36 Kharghar, Navi Mumbai","Sector 36 Kharghar, Navi Mumbai",2 BHK,"₹30,000",₹25 /sqft,"1,175",Super Built-up Area,Under Construction,No,N/A,Furnished,Yes,N/A,4w ago,N/A
"2 BHK Flat in Evershine Nagar, Malad West","Evershine Nagar, Malad West",2 BHK,"₹19,900",₹30 /sqft,800,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"1 BHK Flat in Breach Candy, Cumbala Hill, Mumbai","Breach Candy, Cumbala Hill, Mumbai",1 BHK,"₹50,000",₹125 /sqft,400,Carpet Area,Under Construction,No,1,Furnished,No,N/A,4d ago,N/A
"3 BHK Flat in Vikhroli West, Mumbai","Vikhroli West, Mumbai",3 BHK,"₹14,000",₹14 /sqft,950,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"3 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",3 BHK,"₹15,000",₹60 /sqft,251,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹20,000",₹100 /sqft,200,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",1 BHK,"₹10,000",₹20 /sqft,500,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2d ago,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹12,000",₹40 /sqft,300,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,4d ago,N/A
"1 BHK Flat in Veera Desai Road, Andheri West","Veera Desai Road, Andheri West",1 BHK,"₹12,000",₹18 /sqft,650,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,4d ago,N/A
"2 BHK Flat in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",2 BHK,"₹12,000",₹17 /sqft,700,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,6d ago,N/A
"2 BHK Flat in Chinchpokli East, Mumbai","Chinchpokli East, Mumbai",2 BHK,"₹15,000",₹23 /sqft,650,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Dattani Nagar, Borivali West","Dattani Nagar, Borivali West",1 BHK,"₹9,000",₹45 /sqft,200,Carpet Area,Under Construction,No,1,Furnished,No,N/A,3d ago,N/A
"3 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",3 BHK,"₹34,000",₹32 /sqft,"1,050",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2d ago,N/A
"Studio Apartments / 1 RK Flats in Colaba, Mumbai","Colaba, Mumbai",N/A,"₹30,000",₹120 /sqft,250,Super Built-up Area,Under Construction,No,1,N/A,No,Krishna Realty,2w ago,N/A
"3 BHK Flat in Goregaon West, Mumbai","Goregaon West, Mumbai",3 BHK,₹3.29,"₹36,508 /sqft","1,088",Carpet Area,Ready To Move,Yes,N/A,Furnished,No,N/A,2d ago,N/A
"2 BHK Flat in Parel East, Mumbai","Parel East, Mumbai",2 BHK,"₹90,000",₹81 /sqft,"1,100",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"2 BHK Flat in Central Area, IIT Area, Mumbai","Central Area, IIT Area, Mumbai",2 BHK,"₹11,000",₹16 /sqft,655,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,6d ago,N/A
"2 BHK Flat in Sambhaji Nagar, Vile Parle","Sambhaji Nagar, Vile Parle",2 BHK,"₹13,500",₹14 /sqft,900,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"2 BHK Flat in Yashwant Nagar, Santacruz East","Yashwant Nagar, Santacruz East",2 BHK,"₹30,000",₹50 /sqft,600,Carpet Area,Under Construction,No,1,Furnished,No,N/A,1w ago,N/A
"1 BHK Flat in Tardeo, Mumbai","Tardeo, Mumbai",1 BHK,"₹30,000",₹54 /sqft,550,Carpet Area,Under Construction,No,1,Furnished,No,N/A,N/A,N/A
"2 BHK Flat in Vakola, Santacruz East","Vakola, Santacruz East",2 BHK,"₹16,000",₹17 /sqft,900,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"3 BHK Flat in Chandivali, Mumbai","Chandivali, Mumbai",3 BHK,"₹40,000",₹26 /sqft,"1,500",Built-up Area,Under Construction,No,N/A,N/A,No,VEEKAY BLOWER SYSTEM PRIVATE LIMITED,4w ago,N/A
"1 BHK Flat in Vikhroli, Mumbai","Vikhroli, Mumbai",1 BHK,"₹12,000",₹50 /sqft,240,Carpet Area,Under Construction,No,1,Furnished,No,N/A,N/A,N/A
"3 BHK Flat in Kurla West, Mumbai","Kurla West, Mumbai",3 BHK,"₹10,000",₹20 /sqft,500,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"2 BHK Flat in Dhobi Ghat, Malad East","Dhobi Ghat, Malad East",2 BHK,"₹25,000",₹37 /sqft,670,Carpet Area,Under Construction,No,N/A,Furnished,No,RJ Properties,1w ago,N/A
"1 BHK Flat in Santacruz West, Mumbai","Santacruz West, Mumbai",1 BHK,"₹41,000",₹410 /sqft,100,Carpet Area,Under Construction,No,1,N/A,No,N/A,N/A,N/A
"2 BHK Flat in Sector 17 Roadpali, Kalamboli","Sector 17 Roadpali, Kalamboli",2 BHK,₹1.1 Cr,"₹16,923 /sqft","1,025",Super Built-up Area,Ready To Move,Yes,N/A,N/A,No,Hi tech Realty And Consultancy,1w ago,N/A
"2 BHK Flat in Brahmand, Thane West","Brahmand, Thane West",2 BHK,₹1 Cr,"₹15,384 /sqft",650,Carpet Area,Ready To Move,No,N/A,Furnished,Yes,N/A,1w ago,N/A
"2 BHK Flat in Evershine Nagar, Malad West","Evershine Nagar, Malad West",2 BHK,"₹19,900",₹30 /sqft,800,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"1 BHK Flat in Breach Candy, Cumbala Hill, Mumbai","Breach Candy, Cumbala Hill, Mumbai",1 BHK,"₹50,000",₹125 /sqft,400,Carpet Area,Under Construction,No,1,Furnished,No,N/A,4d ago,N/A
"3 BHK Flat in Vikhroli West, Mumbai","Vikhroli West, Mumbai",3 BHK,"₹14,000",₹14 /sqft,950,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"3 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",3 BHK,"₹15,000",₹60 /sqft,251,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹20,000",₹100 /sqft,200,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",1 BHK,"₹10,000",₹20 /sqft,500,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2d ago,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹12,000",₹40 /sqft,300,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,4d ago,N/A
"1 BHK Flat in Veera Desai Road, Andheri West","Veera Desai Road, Andheri West",1 BHK,"₹12,000",₹18 /sqft,650,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,4d ago,N/A
"2 BHK Flat in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",2 BHK,"₹12,000",₹17 /sqft,700,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,6d ago,N/A
"2 BHK Flat in Chinchpokli East, Mumbai","Chinchpokli East, Mumbai",2 BHK,"₹15,000",₹23 /sqft,650,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Dattani Nagar, Borivali West","Dattani Nagar, Borivali West",1 BHK,"₹9,000",₹45 /sqft,200,Carpet Area,Under Construction,No,1,Furnished,No,N/A,3d ago,N/A
"3 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",3 BHK,"₹34,000",₹32 /sqft,"1,050",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2d ago,N/A
"Studio Apartments / 1 RK Flats in Colaba, Mumbai","Colaba, Mumbai",N/A,"₹30,000",₹120 /sqft,250,Super Built-up Area,Under Construction,No,1,N/A,No,Krishna Realty,2w ago,N/A
"3 BHK Flat in Goregaon West, Mumbai","Goregaon West, Mumbai",3 BHK,₹3.29,"₹36,508 /sqft","1,088",Carpet Area,Ready To Move,Yes,N/A,Furnished,No,N/A,2d ago,N/A
"2 BHK Flat in Parel East, Mumbai","Parel East, Mumbai",2 BHK,"₹90,000",₹81 /sqft,"1,100",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"2 BHK Flat in Central Area, IIT Area, Mumbai","Central Area, IIT Area, Mumbai",2 BHK,"₹11,000",₹16 /sqft,655,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,6d ago,N/A
"2 BHK Flat in Sambhaji Nagar, Vile Parle","Sambhaji Nagar, Vile Parle",2 BHK,"₹13,500",₹14 /sqft,900,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"2 BHK Flat in Yashwant Nagar, Santacruz East","Yashwant Nagar, Santacruz East",2 BHK,"₹30,000",₹50 /sqft,600,Carpet Area,Under Construction,No,1,Furnished,No,N/A,1w ago,N/A
"1 BHK Flat in Tardeo, Mumbai","Tardeo, Mumbai",1 BHK,"₹30,000",₹54 /sqft,550,Carpet Area,Under Construction,No,1,Furnished,No,N/A,N/A,N/A
"2 BHK Flat in Vakola, Santacruz East","Vakola, Santacruz East",2 BHK,"₹16,000",₹17 /sqft,900,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"3 BHK Flat in Chandivali, Mumbai","Chandivali, Mumbai",3 BHK,"₹40,000",₹26 /sqft,"1,500",Built-up Area,Under Construction,No,N/A,N/A,No,VEEKAY BLOWER SYSTEM PRIVATE LIMITED,4w ago,N/A
"1 BHK Flat in Vikhroli, Mumbai","Vikhroli, Mumbai",1 BHK,"₹12,000",₹50 /sqft,240,Carpet Area,Under Construction,No,1,Furnished,No,N/A,N/A,N/A
"3 BHK Flat in Kurla West, Mumbai","Kurla West, Mumbai",3 BHK,"₹10,000",₹20 /sqft,500,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"2 BHK Flat in Dhobi Ghat, Malad East","Dhobi Ghat, Malad East",2 BHK,"₹25,000",₹37 /sqft,670,Carpet Area,Under Construction,No,N/A,Furnished,No,RJ Properties,1w ago,N/A
"1 BHK Flat in Santacruz West, Mumbai","Santacruz West, Mumbai",1 BHK,"₹41,000",₹410 /sqft,100,Carpet Area,Under Construction,No,1,N/A,No,N/A,N/A,N/A
"2 BHK Flat in Jankalyan Nagar, Malad West","Jankalyan Nagar, Malad West",2 BHK,"₹44,000",₹80 /sqft,550,Carpet Area,Under Construction,No,N/A,N/A,No,N/A,4w ago,N/A
"3 BHK Flat in Tilak nagar, Chembur","Tilak nagar, Chembur",3 BHK,"₹81,000",₹60 /sqft,"1,350",Super Built-up Area,Under Construction,No,N/A,Furnished,Yes,Rajesh Real Estate,N/A,N/A
"2 BHK Flat in Evershine Nagar, Malad West","Evershine Nagar, Malad West",2 BHK,"₹19,900",₹30 /sqft,800,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"1 BHK Flat in Breach Candy, Cumbala Hill, Mumbai","Breach Candy, Cumbala Hill, Mumbai",1 BHK,"₹50,000",₹125 /sqft,400,Carpet Area,Under Construction,No,1,Furnished,No,N/A,4d ago,N/A
"3 BHK Flat in Vikhroli West, Mumbai","Vikhroli West, Mumbai",3 BHK,"₹14,000",₹14 /sqft,950,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2w ago,N/A
"3 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",3 BHK,"₹15,000",₹60 /sqft,251,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹20,000",₹100 /sqft,200,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
"1 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",1 BHK,"₹10,000",₹20 /sqft,500,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,2d ago,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹12,000",₹40 /sqft,300,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,4d ago,N/A
"1 BHK Flat in Veera Desai Road, Andheri West","Veera Desai Road, Andheri West",1 BHK,"₹12,000",₹18 /sqft,650,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,4d ago,N/A
"2 BHK Flat in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",2 BHK,"₹12,000",₹17 /sqft,700,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,6d ago,N/A
"2 BHK Flat in Chinchpokli East, Mumbai","Chinchpokli East, Mumbai",2 BHK,"₹15,000",₹23 /sqft,650,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,4d ago,N/A
